"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6","ENSG00000000003",55.9364471312391,-1.73415032685721,0.646634999381395,-2.68220740993142,0.0073138098865472,0.0153214356036978
"SCYL3","ENSG00000000457",403.732912509901,-1.16466890397184,0.185831217646293,-6.26729367652477,3.67376905447864e-10,2.63457086758595e-09
"FIRRM","ENSG00000000460",833.369453432027,-1.53437819262579,0.254709653371389,-6.02399266022293,1.70166086116737e-09,1.11089510285712e-08
"CFH","ENSG00000000971",395.382513001706,-3.38365398061301,0.64098478385082,-5.28103088582356,1.28459030922396e-07,6.33921164643048e-07
"FUCA2","ENSG00000001036",188.807634521001,1.12106421904957,0.388193600739879,2.88788224736407,0.00387845036302587,0.00864593418074392
"ENPP4","ENSG00000001561",322.203306439521,-1.80880777546535,0.433175714511392,-4.17575463313536,2.96999820123898e-05,9.92739961553463e-05
"SEMA3F","ENSG00000001617",1152.4040077109,4.49440933868552,0.466121811667266,9.64110968257337,5.36053209434447e-22,1.58433905749975e-20
"CFTR","ENSG00000001626",174.825803423263,-5.59007401747617,0.887384547816583,-6.41963348648885,1.36602828658439e-10,1.03912505777994e-09
"ANKIB1","ENSG00000001629",1981.44818466892,-1.04875840613147,0.208420362892555,-5.03192893292131,4.85569275079371e-07,2.17773323401247e-06
"LAP3","ENSG00000002549",1980.03547748213,1.18323902334403,0.177582045837483,6.66303285647395,2.68233663595146e-11,2.23388746134122e-10
"WNT16","ENSG00000002745",37.5924795802893,4.3616972756353,0.533535544726608,5.52611093983274,3.27407144337132e-08,1.76818414778719e-07
"HECW1","ENSG00000002746",275.380290809247,4.58663318579696,0.508225889450731,9.01795106012383,1.91639903197957e-19,4.34577149987377e-18
"TMEM176A","ENSG00000002933",49.1857446536589,2.24512601334421,0.457056838792835,4.90978999788443,9.11739773354253e-07,3.9190414833667e-06
"DBNDD1","ENSG00000003249",100.597780285213,2.67549653668897,0.456475404081768,5.85872075300357,4.66446270164503e-09,2.84945037875684e-08
"ALS2","ENSG00000003393",552.056319973633,-1.18030800796312,0.213366848698048,-5.53180544175482,3.16951352718343e-08,1.71425157218629e-07
"MTMR7","ENSG00000003987",173.532995383395,-1.11504879121518,0.359187989955912,-3.10431926779071,0.00190717407287358,0.00453838073766481
"SLC7A2","ENSG00000003989",12.2777028996261,3.61402613303264,0.614708521412192,5.82806189718618,5.60747817479232e-09,3.38635127968204e-08
"FKBP4","ENSG00000004478",1690.50512450433,-1.15169668836674,0.371078045567969,-3.1036563618045,0.00191145201382536,0.00454744833373907
"CAMKK1","ENSG00000004660",468.234510392601,1.0575228190045,0.327124815983658,3.2327476033554,0.00122605834436735,0.00303132690049444
"RECQL","ENSG00000004700",580.918922078218,-1.36953723581716,0.183166627993781,-7.47693442346488,7.6076351910186e-14,8.80978224722685e-13
"VPS50","ENSG00000004766",568.382733888719,-1.35848172737836,0.21882848732113,-6.20793190668317,5.36864019733875e-10,3.75839112744857e-09
"HSPB6","ENSG00000004776",9.75641632748287,2.04287328733399,0.400721058799897,5.08765606413505,3.62516038134967e-07,1.66033860684365e-06
"ARHGAP33","ENSG00000004777",2597.85441358419,2.25082938364464,0.201439770986598,11.1736069503088,5.49050629191443e-29,3.19594131847146e-27
"NDUFAB1","ENSG00000004779",1472.77772079182,1.23049331569605,0.264783635984106,4.64714408026339,3.3656209985687e-06,1.32351098141274e-05
"PDK4","ENSG00000004799",143.084582862042,3.71566354323611,0.503236678572761,7.3786712214146,1.59877090202862e-13,1.78264379055753e-12
"ABCB5","ENSG00000004846",5.12293894143303,1.20681248068642,0.45225933868677,3.20309730527069,0.00135958034823955,0.00332691861565921
"SLC25A13","ENSG00000004864",474.077491893677,1.00732155587331,0.210517208008588,4.78492991044619,1.71047010744819e-06,7.03100584071663e-06
"ST7","ENSG00000004866",235.368731034114,2.04643204281647,0.449101441905339,4.55653107599148,5.20053480157753e-06,1.97371755899164e-05
"SLC4A1","ENSG00000004939",16253.21944241,2.99330135374294,0.543638097704704,5.50675558152748,3.65507171299799e-08,1.95682726581672e-07
"HCCS","ENSG00000004961",531.607978925397,1.58884040084503,0.230571451075937,6.89077663201734,5.54886085458403e-12,5.07961821464646e-11
"PRSS22","ENSG00000005001",3.39891634021111,2.65322661628146,0.757689943865264,3.5160386973213,0.000438037134102146,0.00118486828096959
"SLC25A5","ENSG00000005022",16019.6533820563,1.5705578616438,0.242556099204462,6.47502588137813,9.47956910923673e-11,7.36700343310204e-10
"HOXA11","ENSG00000005073",50.6754938356301,-3.48137404588688,0.996428700971058,-3.60864645969635,0.000307798730450532,0.000859800277507952
"POLR2J","ENSG00000005075",1315.34762380871,1.43331864674952,0.212906218028009,6.7321121875227,1.67217625656639e-11,1.43402773432912e-10
"THSD7A","ENSG00000005108",224.38357966314,3.28743300004696,0.670394701941964,4.90536740353464,9.32526198727337e-07,4.00093537748805e-06
"LIG3","ENSG00000005156",1818.27313042767,-1.06702905779516,0.136416951704748,-7.82181494718687,5.20671127357693e-15,6.96628088620728e-14
"SPPL2B","ENSG00000005206",3705.23737067185,1.44765930146736,0.204283565793921,7.08650305016083,1.37543186546779e-12,1.36210018290372e-11
"ATOSB","ENSG00000005238",962.742388780752,2.16878802283883,0.316477400011128,6.85279697509758,7.2419834094225e-12,6.52865847014393e-11
"COPZ2","ENSG00000005243",10.4884328767151,1.22730390915807,0.479553519656649,2.55845986046691,0.010513695697898,0.0212027835108365
"PRKAR2B","ENSG00000005249",1081.03246298805,2.38494859859865,0.384377919170328,6.20460870913143,5.48331596229632e-10,3.8343845236664e-09
"CREBBP","ENSG00000005339",16459.1874939235,2.49042038923532,0.231707611520815,10.7481030298882,6.04929007231269e-27,2.84797457743864e-25
"MPO","ENSG00000005381",7547.4126660959,2.58717181625401,0.499497616557707,5.17981069195607,2.22111189494906e-07,1.05486570015725e-06
"PON1","ENSG00000005421",25.9443869339921,-4.0571881276353,0.677811121338007,-5.96419958036385,2.45836112742876e-09,1.5654863660661e-08
"CROT","ENSG00000005469",234.357758490533,-1.18243062477371,0.22661201011283,-5.21775777228041,1.81102087409298e-07,8.73062647738334e-07
