"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6","ENSG00000000003",55.9364471312391,-1.73415032685721,0.646634999381395,-2.68220740993142,0.0073138098865472,0.0153214356036978
"SCYL3","ENSG00000000457",403.732912509901,-1.16466890397184,0.185831217646293,-6.26729367652477,3.67376905447864e-10,2.63457086758595e-09
"FIRRM","ENSG00000000460",833.369453432027,-1.53437819262579,0.254709653371389,-6.02399266022293,1.70166086116737e-09,1.11089510285712e-08
"CFH","ENSG00000000971",395.382513001706,-3.38365398061301,0.64098478385082,-5.28103088582356,1.28459030922396e-07,6.33921164643048e-07
"ENPP4","ENSG00000001561",322.203306439521,-1.80880777546535,0.433175714511392,-4.17575463313536,2.96999820123898e-05,9.92739961553463e-05
"CFTR","ENSG00000001626",174.825803423263,-5.59007401747617,0.887384547816583,-6.41963348648885,1.36602828658439e-10,1.03912505777994e-09
"ANKIB1","ENSG00000001629",1981.44818466892,-1.04875840613147,0.208420362892555,-5.03192893292131,4.85569275079371e-07,2.17773323401247e-06
"ALS2","ENSG00000003393",552.056319973633,-1.18030800796312,0.213366848698048,-5.53180544175482,3.16951352718343e-08,1.71425157218629e-07
"MTMR7","ENSG00000003987",173.532995383395,-1.11504879121518,0.359187989955912,-3.10431926779071,0.00190717407287358,0.00453838073766481
"FKBP4","ENSG00000004478",1690.50512450433,-1.15169668836674,0.371078045567969,-3.1036563618045,0.00191145201382536,0.00454744833373907
"RECQL","ENSG00000004700",580.918922078218,-1.36953723581716,0.183166627993781,-7.47693442346488,7.6076351910186e-14,8.80978224722685e-13
"VPS50","ENSG00000004766",568.382733888719,-1.35848172737836,0.21882848732113,-6.20793190668317,5.36864019733875e-10,3.75839112744857e-09
"HOXA11","ENSG00000005073",50.6754938356301,-3.48137404588688,0.996428700971058,-3.60864645969635,0.000307798730450532,0.000859800277507952
"LIG3","ENSG00000005156",1818.27313042767,-1.06702905779516,0.136416951704748,-7.82181494718687,5.20671127357693e-15,6.96628088620728e-14
"PON1","ENSG00000005421",25.9443869339921,-4.0571881276353,0.677811121338007,-5.96419958036385,2.45836112742876e-09,1.5654863660661e-08
"CROT","ENSG00000005469",234.357758490533,-1.18243062477371,0.22661201011283,-5.21775777228041,1.81102087409298e-07,8.73062647738334e-07
"ITGA3","ENSG00000005884",149.321316945946,-2.55052446646718,0.327842129389689,-7.77880209738955,7.32144893425089e-15,9.61661457108632e-14
"TMEM98","ENSG00000006042",96.8139248112598,-1.86190511221792,0.646949509831482,-2.87853306907928,0.00399529390766235,0.00887660823533802
"ABCC8","ENSG00000006071",25.055533894183,-2.6756707042898,0.581889068922567,-4.59358963979454,4.35685739476375e-06,1.67763697153553e-05
"CACNG3","ENSG00000006116",2.53753589458731,-2.17583452349254,0.647961867361211,-3.34286577755069,0.000829179958887166,0.00212488251969431
"TTC22","ENSG00000006555",15.6019673391279,-1.85258532267633,0.425831298083393,-4.34895810474674,1.36785837793296e-05,4.84795023556074e-05
"VPS41","ENSG00000006715",1058.15177856893,-1.14027288842642,0.198444029625357,-5.74606276495149,9.13454113396025e-09,5.3476168350823e-08
"ST7L","ENSG00000007341",739.305723373647,-1.18152025514766,0.160368294327791,-7.36753160310871,1.73816239933672e-13,1.92923261902577e-12
"TEAD3","ENSG00000007866",94.5062168646213,-1.07187464717,0.37810319449771,-2.83477188735229,0.00458584173791282,0.0100536202278026
"SELE","ENSG00000007908",12.1572823706275,-2.3956078219555,0.559740012295166,-4.27884255265581,1.87867691141688e-05,6.50480193572268e-05
"DLEC1","ENSG00000008226",96.9677294315316,-1.19310089972566,0.322655698335683,-3.69775401870061,0.000217515512704093,0.000624601836827379
"ADAM22","ENSG00000008277",392.19007322836,-2.98170234593116,0.284346425339434,-10.4852324956351,1.00996950908447e-25,4.26884990864815e-24
"IL32","ENSG00000008517",498.236546806327,-1.97659451294304,0.433339279468314,-4.56125102185746,5.08497465989599e-06,1.93438226278338e-05
"TENM1","ENSG00000009694",2316.71736068378,-6.09500086917981,0.449571665772792,-13.5558420462335,7.3167659874346e-42,1.21939608363211e-39
"TRAF3IP3","ENSG00000009790",888.802329888096,-1.46446029738864,0.2923252471772,-5.00968476503069,5.45192632132289e-07,2.42528552308844e-06
"PRSS3","ENSG00000010438",37.162863414938,-4.75055495611789,0.612522444425693,-7.71603976632031,1.19999885628851e-14,1.53613171349245e-13
"LARS2","ENSG00000011376",1381.05508893458,-1.01453161020307,0.143993045362696,-7.04568902735329,1.84545991684381e-12,1.79797677494766e-11
"ANLN","ENSG00000011426",1204.30201503937,-1.5521433506634,0.248090618204299,-6.25634958313059,3.94092834990368e-10,2.81327085512424e-09
"BRCA1","ENSG00000012048",1112.62400556284,-1.00453600311068,0.250514146290967,-4.00988524662433,6.07482637585028e-05,0.000192680884926473
"ELOVL5","ENSG00000012660",7106.83781895056,-1.2510421063976,0.219852763756327,-5.69036238484774,1.26770043794487e-08,7.25575579727888e-08
"KDM5D","ENSG00000012817",2737.1751062782,-1.62550993575596,0.61628343692836,-2.63783632520628,0.00834368423037582,0.0172440599538666
"POLR3B","ENSG00000013503",298.236572727166,-1.65666249761755,0.202549100559928,-8.17891650881634,2.86407461788677e-16,4.49947149020053e-15
"CD6","ENSG00000013725",2292.30443710157,-1.79108643966638,0.357483882532252,-5.01026924376359,5.43539370849395e-07,2.41915862750811e-06
"MATR3","ENSG00000015479",1850.36092053335,-2.25631506274352,0.277484630072844,-8.13126710236291,4.24826095489366e-16,6.52208497071607e-15
"RGPD5","ENSG00000015568",28.8362244013943,-3.54781739877055,0.308879975253684,-11.4690513215921,1.88716773912429e-30,1.24012667426622e-28
"CHDH","ENSG00000016391",7.23440777807635,-1.22341004127855,0.473251694173907,-2.58432529430748,0.00975697218981142,0.0198265112680401
"CLCA1","ENSG00000016490",38.2076135800051,-2.1484646530388,0.916674540387839,-2.79727558735209,0.00515355544426033,0.0111739174734354
"ATP2C1","ENSG00000017260",3952.13217665888,-1.94749871160531,0.21126293590172,-9.21835043325921,3.01705720095596e-20,7.49238720538813e-19
"IGF1","ENSG00000017427",4.55435374477587,-1.7663771716207,0.596304363130027,-2.96372911867707,0.00303935704887818,0.00692581537870443
